"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","np-ico src"
"94","https://scores.iplt20.com/ipl/playerimages/Daryl%20Mitchell.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/20617","Daryl Mitchell","CSK","1","13","2","6.0","70","18/1","70.00","11.66","36.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"95","https://scores.iplt20.com/ipl/playerimages/Alzarri%20Joseph.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3098","Alzarri Joseph","RCB","1","3","3","9.4","115","43/1","115.00","11.89","58.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"96","https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1","https://www.iplt20.com/teams/delhi-capitals/squad-details/20727","Lizaad Williams","DC","1","2","2","6.0","72","38/1","72.00","12.00","36.00","0","0","https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1"
"97","https://scores.iplt20.com/ipl/playerimages/Mitchell%20Marsh.png?v=1","https://www.iplt20.com/teams/delhi-capitals/squad-details/","Mitchell Marsh","DC","1","4","3","8.0","103","37/1","103.00","12.87","48.00","0","0","https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1"
"98","https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/17068","Marco Jansen","SRH","1","3","3","10.0","129","45/1","129.00","12.90","60.00","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"99","https://scores.iplt20.com/ipl/playerimages/Yudhvir%20Singh.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/10842","Yudhvir Singh","LSG","1","2","2","4.0","52","24/1","52.00","13.00","24.00","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"100","https://scores.iplt20.com/ipl/playerimages/Romario%20Shepherd.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20609","Romario Shepherd","MI","1","6","5","12.0","159","54/1","159.00","13.25","72.00","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"101","https://scores.iplt20.com/ipl/playerimages/Shivam%20Dube.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/5431","Shivam Dube","CSK","1","14","1","1.0","14","14/1","14.00","14.00","6.00","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"102","https://scores.iplt20.com/ipl/playerimages/Washington%20Sundar.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/2973","Washington Sundar","SRH","1","2","2","5.0","73","46/1","73.00","14.60","30.00","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
"103","https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20724","Kwena Maphaka","MI","1","2","2","6.0","89","23/1","89.00","14.83","36.00","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"104","https://scores.iplt20.com/ipl/playerimages/Luke%20Wood.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20721","Luke Wood","MI","1","2","2","6.0","93","68/1","93.00","15.50","36.00","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"105","https://scores.iplt20.com/ipl/playerimages/Akash%20Deep.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/14800","Akash Deep","RCB","1","1","1","3.3","55","55/1","55.00","15.71","21.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
