"ng-binding","pbi src","st-ply href","st-ply-name","st-ply-tm-name","ng-binding 2","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-binding 11","ng-binding 12","np-ico src"
"38","https://scores.iplt20.com/ipl/playerimages/Ishant%20Sharma.png?v=1","https://www.iplt20.com/teams/delhi-capitals/squad-details/38","Ishant Sharma","DC","10","9","9","27.0","265","34/3","26.50","9.81","16.20","0","0","https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1"
"39","https://scores.iplt20.com/ipl/playerimages/Mohsin%20Khan.png?v=1","https://www.iplt20.com/teams/lucknow-super-giants/squad-details/4952","Mohsin Khan","LSG","10","9","10","38.0","385","29/2","38.50","10.13","22.80","0","0","https://scores.iplt20.com/ipl/teamlogos/LSG.png?v=1"
"40","https://scores.iplt20.com/ipl/playerimages/Ravichandran%20Ashwin.png?v=1","https://www.iplt20.com/teams/rajasthan-royals/squad-details/8","Ravichandran Ashwin","RR","9","15","14","55.0","467","24/3","51.88","8.49","36.66","0","0","https://scores.iplt20.com/ipl/teamlogos/RR.png?v=1"
"41","https://scores.iplt20.com/ipl/playerimages/Lockie%20Ferguson.png?v=1","https://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3729","Lockie Ferguson","RCB","9","7","7","24.0","255","23/2","28.33","10.62","16.00","0","0","https://scores.iplt20.com/ipl/teamlogos/RCB.png?v=1"
"42","https://scores.iplt20.com/ipl/playerimages/Rasikh%20Salam.png?v=1","https://www.iplt20.com/teams/delhi-capitals/squad-details/20577","Rasikh Salam","DC","9","8","8","24.3","269","34/3","29.88","10.97","16.33","0","0","https://scores.iplt20.com/ipl/teamlogos/DC.png?v=1"
"43","https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png?v=1","https://www.iplt20.com/teams/chennai-super-kings/squad-details/9","Ravindra Jadeja","CSK","8","14","14","47.0","369","18/3","46.12","7.85","35.25","0","0","https://scores.iplt20.com/ipl/teamlogos/CSK.png?v=1"
"44","https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/20590","Noor Ahmad","GT","8","10","10","34.5","290","20/2","36.25","8.32","26.12","0","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"45","https://scores.iplt20.com/ipl/playerimages/Nuwan%20Thushara.png?v=1","https://www.iplt20.com/teams/mumbai-indians/squad-details/20700","Nuwan Thushara","MI","8","7","7","26.0","257","28/3","32.12","9.88","19.50","0","0","https://scores.iplt20.com/ipl/teamlogos/MI.png?v=1"
"46","https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png?v=1","https://www.iplt20.com/teams/gujarat-titans/squad-details/59","Umesh Yadav","GT","8","7","7","21.0","210","22/2","26.25","10.00","15.75","0","0","https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1"
"47","https://scores.iplt20.com/ipl/playerimages/Jaydev%20Unadkat.png?v=1","https://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/86","Jaydev Unadkat","SRH","8","11","11","31.1","319","30/3","39.87","10.23","23.37","0","0","https://scores.iplt20.com/ipl/teamlogos/SRH.png?v=1"
